sub,run,gain,loss,RT,participant_response
003,02,36,14,1.144,strongly_accept
003,02,36,19,1.246,strongly_accept
003,02,26,18,1.353,strongly_accept
003,02,30,12,0.937,strongly_accept
003,02,18,17,1.977,weakly_accept
003,02,22,18,1.768,strongly_accept
003,02,36,11,0.938,strongly_accept
003,02,32,15,2.599,strongly_accept
003,02,32,11,1.243,strongly_accept
003,02,36,9,0.833,strongly_accept
003,03,16,12,3.428,strongly_accept
003,03,38,5,1.042,strongly_accept
003,03,40,9,0.831,strongly_accept
003,03,20,14,1.038,strongly_accept
003,03,40,13,0.937,strongly_accept
003,03,10,13,0.832,strongly_accept
003,03,24,19,1.038,strongly_accept
003,03,34,18,1.04,strongly_accept
003,03,10,5,2.289,weakly_reject
003,03,14,20,1.664,weakly_reject
003,03,22,15,1.354,strongly_accept
003,03,38,11,1.144,strongly_accept
003,03,16,14,2.912,weakly_reject
003,03,32,16,1.039,strongly_accept
003,03,14,17,1.456,weakly_reject
003,03,34,10,1.249,strongly_accept
003,03,36,5,0.936,strongly_accept
003,03,22,14,2.601,strongly_accept
003,03,32,6,0.938,strongly_accept
003,03,12,12,1.769,weakly_reject
003,03,26,7,0.938,strongly_accept
003,03,24,7,1.04,strongly_accept
003,03,32,18,1.145,strongly_accept
003,03,10,14,1.562,weakly_reject
003,03,40,14,1.144,strongly_accept
003,03,14,19,1.662,weakly_reject
003,03,34,17,1.143,strongly_accept
003,03,10,8,2.391,weakly_reject
003,03,18,18,2.392,weakly_reject
003,03,26,8,1.139,strongly_accept
003,03,36,13,1.559,strongly_accept
003,03,10,9,0.831,strongly_accept
003,03,30,15,1.353,strongly_accept
003,03,22,12,1.247,strongly_accept
003,03,14,5,0.938,strongly_accept
003,03,26,10,1.144,strongly_accept
003,03,38,10,1.041,strongly_accept
003,03,32,17,0.936,strongly_accept
003,03,28,11,0.937,strongly_accept
003,03,32,9,0.933,strongly_accept
003,03,18,9,1.039,strongly_accept
003,03,12,16,1.458,weakly_reject
003,03,22,6,1.872,strongly_accept
003,03,36,6,1.04,strongly_accept
003,03,14,11,1.767,weakly_reject
003,03,40,6,1.664,strongly_accept
003,03,36,17,1.142,strongly_accept
003,03,40,19,0.936,strongly_accept
003,03,12,5,1.036,strongly_accept
003,03,32,19,1.248,strongly_accept
003,03,28,14,1.456,strongly_accept
003,03,16,19,2.39,weakly_reject
003,03,20,19,1.663,weakly_reject
003,03,36,15,1.25,strongly_accept
003,03,28,19,1.56,strongly_accept
003,03,30,5,0.728,strongly_accept
003,03,28,12,0.832,strongly_accept
003,03,20,12,0.935,strongly_accept
003,03,22,17,2.078,strongly_accept
003,03,18,16,1.765,weakly_reject
003,03,24,12,1.56,strongly_accept
003,03,22,5,1.144,strongly_accept
003,03,30,13,1.559,strongly_accept
003,03,24,8,1.873,strongly_accept
003,04,14,16,2.391,weakly_reject
003,04,34,6,0.937,strongly_accept
003,04,12,20,1.872,weakly_reject
003,04,14,12,1.768,weakly_reject
003,04,12,13,1.455,weakly_reject
003,04,10,11,1.561,weakly_reject
003,04,24,18,1.041,strongly_accept
003,04,26,14,0.938,strongly_accept
003,04,14,8,1.143,strongly_accept
003,04,14,13,1.976,weakly_reject
003,04,14,15,1.56,weakly_reject
003,04,18,15,2.808,weakly_reject
003,04,34,9,1.663,strongly_accept
003,04,36,18,3.949,strongly_accept
003,04,18,12,1.665,weakly_reject
003,04,22,7,1.249,strongly_accept
003,04,38,17,1.142,strongly_accept
003,04,30,19,1.25,strongly_accept
003,04,22,20,3.535,weakly_reject
003,04,12,17,1.352,weakly_reject
003,04,26,17,1.562,strongly_accept
003,04,28,10,1.665,strongly_accept
003,04,26,12,2.807,strongly_accept
003,04,38,8,0.0,NoResp
003,04,20,10,1.145,strongly_accept
003,04,12,11,1.142,weakly_reject
003,04,26,20,1.561,strongly_accept
003,04,28,13,3.013,strongly_accept
