stimulus,condition,rt1,resp1,rt2,resp2,rt3,resp3,rt4,resp4,rt5,resp5,enter_rt,enter_resp,unknown,subject,session
69439,0,937,6,252,9,253,4,277,3,248,9,306,-35,,1,1
95865,2,786,9,289,5,276,8,482,6,221,5,324,-35,,1,1
58638,0,805,5,239,8,458,6,258,3,248,8,460,-35,,1,1
12394,2,690,1,230,2,249,3,248,9,271,4,252,-35,,1,1
63123,2,767,6,217,3,230,1,248,2,217,3,255,-35,,1,1
52592,2,944,5,230,2,239,5,199,9,271,2,224,-35,,1,1
63959,2,733,6,244,3,508,9,293,5,218,9,315,-35,,1,1
73786,2,734,7,245,3,248,7,226,8,295,6,237,-35,,1,1
27123,2,715,2,349,7,516,1,250,2,207,3,220,-35,,1,1
71461,0,675,7,230,1,239,4,245,6,225,1,247,-35,,1,1
87846,2,896,8,203,7,212,8,198,4,208,6,269,-35,,1,1
12786,2,648,1,199,2,248,7,226,8,40,9,252,6,,1,1
97452,2,910,9,635,7,481,4,244,5,300,2,247,-35,,1,1
12592,0,623,1,213,2,230,5,235,8,626,2,269,-35,,1,1
38186,0,927,3,234,8,563,1,253,8,285,6,1209,6,,1,1
65695,0,1345,6,257,5,290,6,317,9,244,5,360,-35,,1,1
18181,2,579,1,217,8,272,1,235,8,267,1,278,-35,,1,1
78739,2,808,7,240,8,280,7,267,3,226,9,334,-35,,1,1
58737,2,1195,5,244,8,226,7,230,3,222,7,388,-35,,1,1
43878,2,848,4,208,3,226,8,225,7,213,8,260,-35,,1,1
52697,0,710,5,240,2,226,6,212,9,203,7,255,-35,,1,1
37127,2,756,3,434,7,308,1,277,2,275,7,297,-35,,1,1
27395,2,710,2,317,7,326,3,476,9,235,5,279,-35,,1,1
92714,2,1116,9,258,2,239,7,253,1,189,4,288,-35,,1,1
37318,2,744,3,247,7,245,3,262,1,254,8,301,-35,,1,1
42745,0,766,4,213,2,225,7,230,4,195,5,274,-35,,1,1
59737,0,741,5,230,9,225,7,218,3,207,7,261,-35,,1,1
12525,2,616,1,185,2,230,5,249,2,207,5,324,-35,,1,1
95692,2,1290,9,257,5,367,6,285,9,272,2,242,-35,,1,1
65942,2,843,6,207,5,189,9,208,4,243,1,548,-35,,1,1
18619,2,661,1,485,8,832,6,231,1,176,9,292,-35,,1,1
69743,2,749,6,217,9,225,7,645,4,417,3,292,-35,,1,1
81818,0,746,8,239,1,244,8,249,1,240,8,315,-35,,1,1
59465,2,866,2,744,9,289,4,468,6,226,5,324,-35,,1,1
56594,2,1020,5,230,6,262,5,235,9,248,4,293,-35,,1,1
26971,2,686,2,263,6,267,9,275,7,331,1,361,-35,,1,1
38618,2,845,3,312,8,549,6,226,1,185,8,283,-35,,1,1
31259,2,785,3,216,1,221,2,254,5,244,9,410,-35,,1,1
74569,2,959,7,240,4,235,5,291,6,193,9,270,-35,,1,1
97456,2,1000,9,253,7,312,4,240,5,226,6,288,-35,,1,1
43746,2,724,7,253,4,218,3,225,7,435,4,272,6,,1,1
59737,0,747,5,248,9,212,7,245,3,188,7,266,-35,,1,1
46371,2,867,4,276,6,258,3,271,7,243,1,248,-35,,1,1
52695,2,689,5,239,2,258,6,303,9,267,5,251,-35,,1,1
46386,2,709,4,249,6,221,3,239,8,212,4,238,-35,,1,1
52697,0,761,5,244,2,244,6,230,9,235,7,283,-35,,1,1
14395,2,617,1,258,4,235,3,281,9,226,5,278,-35,,1,1
12592,0,641,1,240,2,253,5,227,9,252,2,265,-35,,1,1
84569,2,904,8,221,4,139,-16,105,5,262,6,230,9,,1,1
81278,2,615,8,216,1,227,2,243,7,204,8,260,-35,,1,1
